IMMR_code,Disease,live_m_17-49,live_m_50-69,live_m_70+,live_m_NA,live_m_Total,year
125,Essential hypertension (I10),7050,15493,8942,518,32003,2004
126,Hypertensive heart disease (I11),621,1324,667,112,2724,2004
127,Other hypertensive diseases (I12-I15),730,982,482,249,2443,2004
128,"Acute myocardial infarction (I21,I22)",2248,4585,1775,224,8832,2004
129,"Other ischaemic heart disease  (I20,I23-I25)",5839,12934,6552,376,25701,2004
130,Pulmonary embolism (I26),81,173,144,32,430,2004
131,Cor pulmonale (I27.9),84,476,291,13,864,2004
132,Heart failure (I50),546,2323,2031,135,5035,2004
134,Cerebroavascular disease (I60-I69),1435,5107,4199,119,10860,2004
135,Atherosclerosis (I70),39,99,51,23,212,2004
136,Arterial embolism and thrombosis (I74),42,63,59,16,180,2004
137,"Other diseases of arteries, artherosclerosis and capillaries",198,248,134,24,604,2004
125,Essential hypertension (I10),7646,18114,10847,204,36811,2014
126,Hypertensive heart disease (I11),588,1164,624,14,2394,2014
127,Other hypertensive diseases (I12-I15),616,856,417,26,1933,2014
128,"Acute myocardial infarction (I21,I22)",4009,10823,4234,41,19136,2014
129,"Other ischaemic heart disease  (I20,I23-I25)",7208,20537,9755,56,37656,2014
130,Pulmonary embolism (I26),37,71,48,0,157,2014
131,Cor pulmonale (I27.9),76,315,302,0,697,2014
132,Heart failure (I50),839,3961,2886,12,7766,2014
134,Cerebroavascular disease (I60-I69),2880,11856,8303,79,23221,2014
135,Atherosclerosis (I70),34,64,35,0,134,2014
136,Arterial embolism and thrombosis (I74),74,73,13,0,164,2014
137,"Other diseases of arteries, artherosclerosis and capillaries (I71-I73,I77,I78)",292,745,297,0,1345,2014
125,Essential hypertension (I10),7323.9999999999918,17765.99999999996,10659.000000000002,146.00000000000045,35894.999999999971,2015
126,Hypertensive heart disease (I11),638,1420.0000000000005,618,9,2688.0000000000005,2015
127,Other hypertensive diseases (I12-I15),542.9999999999992,782.99999999999955,361.00000000000028,8.0000000000000124,1713.9999999999989,2015
